year,race,driver_code,race_win_odds,race_win_prob,podium_odds,podium_prob,Grid_Position,Quali_Time_Delta,Top_Speed_ST
2022,Abu Dhabi Grand Prix,VER,2.25,0.4006,1.32,0.7149,1.0,0.0,327.0
2022,Abu Dhabi Grand Prix,HAM,3.5,0.2434,1.5,0.6125,5.0,0.684,318.0
2022,Abu Dhabi Grand Prix,RUS,4.5,0.1833,1.5,0.6125,6.0,0.687,322.0
2022,Abu Dhabi Grand Prix,LEC,11.0,0.0669,2.5,0.3303,3.0,0.268,323.0
2022,Abu Dhabi Grand Prix,PER,13.0,0.0554,2.3,0.3654,2.0,0.228,330.0
2022,Abu Dhabi Grand Prix,SAI,17.0,0.0409,3.3,0.2362,4.0,0.418,324.0
2022,Abu Dhabi Grand Prix,NOR,301.0,0.0016,21.0,0.0252,7.0,0.945,321.0
2022,Abu Dhabi Grand Prix,ALO,301.0,0.0016,17.0,0.0326,11.0,1.272,326.0
2022,Abu Dhabi Grand Prix,RIC,601.0,0.0007,51.0,0.0086,10.0,1.221,317.0
2022,Abu Dhabi Grand Prix,VET,601.0,0.0007,34.0,0.0141,9.0,1.137,313.0
2022,Abu Dhabi Grand Prix,OCO,601.0,0.0007,34.0,0.0141,8.0,1.006,323.0
2022,Abu Dhabi Grand Prix,STR,901.0,0.0005,51.0,0.0086,14.0,1.5350000000000001,314.0
2022,Abu Dhabi Grand Prix,ZHO,901.0,0.0005,151.0,0.0023,15.0,1.584,322.0
2022,Abu Dhabi Grand Prix,ALB,901.0,0.0005,151.0,0.0023,19.0,2.204,334.0
2022,Abu Dhabi Grand Prix,GAS,901.0,0.0005,67.0,0.0062,17.0,2.035,324.0
2022,Abu Dhabi Grand Prix,LAT,901.0,0.0005,501.0,0.0005,20.0,2.23,330.0
2022,Abu Dhabi Grand Prix,MSC,901.0,0.0005,151.0,0.0023,13.0,1.401,323.0
2022,Abu Dhabi Grand Prix,MAG,901.0,0.0005,101.0,0.0038,16.0,2.01,325.0
2022,Abu Dhabi Grand Prix,BOT,901.0,0.0005,67.0,0.0062,18.0,2.068,321.0
2022,Abu Dhabi Grand Prix,TSU,901.0,0.0005,251.0,0.0013,12.0,1.395,325.0
2022,Australian Grand Prix,VER,2.2,0.4107,1.3,0.7326,2.0,0.286,318.0
2022,Australian Grand Prix,LEC,2.5,0.3555,1.3,0.7326,1.0,0.0,312.0
2022,Australian Grand Prix,SAI,9.0,0.0837,1.8,0.4981,9.0,1.54,313.0
2022,Australian Grand Prix,PER,15.0,0.047,2.1,0.4149,3.0,0.372,320.0
2022,Australian Grand Prix,HAM,17.0,0.0408,3.5,0.2264,5.0,0.957,313.0
